cluster_id,medoid_sample_id,primitive_id,fan_branch,W_layer,latency_case,entry_source,outcome_class,primitive_family,dwell_time_s,energy_residual_m,minimum_margin_m,exit_speed_m_s,failure_label,recommended_use,is_medoid,controller_mode,feedback_mode,claim_status,evidence_role
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_008319,fg_20260523_four_fan_branch_W1_008319__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,accepted,energy_retaining_bank,0.0,-0.2466833545472839,0.1255100951100001,5.342479924767133,success,diagnostic_only,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_007839,fg_20260523_four_fan_branch_W1_007839__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,energy_retaining_bank,0.0,0.0,0.6561008526199998,3.81404294691,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_008029,fg_20260523_four_fan_branch_W1_008029__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,energy_retaining_bank,0.0,0.0,0.3032173555099999,3.3565918013,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_008166,fg_20260523_four_fan_branch_W1_008166__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,blocked_partial,energy_retaining_bank,0.0,0.0,0.6162360833299996,3.35401463028,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=diagnostic_rollout_failed|evidence_role=ablation_diagnostic|feedback_mode=open_loop__c00,fg_20260523_four_fan_branch_W1_007955,fg_20260523_four_fan_branch_W1_007955__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,diagnostic_rollout_failed,energy_retaining_bank,0.0,-0.1785956455666069,-0.0423584689792662,3.85739360292848,true_safety_violation,diagnostic_only,True,open_loop_rollout,open_loop,simulation_only,ablation_diagnostic
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=diagnostic_rollout_failed|evidence_role=ablation_diagnostic|feedback_mode=open_loop__c01,fg_20260523_four_fan_branch_W1_008204,fg_20260523_four_fan_branch_W1_008204__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,diagnostic_rollout_failed,energy_retaining_bank,0.0,-0.1727398511881901,-0.0379080962729007,6.837410625693849,true_safety_violation,diagnostic_only,True,open_loop_rollout,open_loop,simulation_only,ablation_diagnostic
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=diagnostic_rollout_failed|evidence_role=ablation_diagnostic|feedback_mode=open_loop__c02,fg_20260523_four_fan_branch_W1_008353,fg_20260523_four_fan_branch_W1_008353__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,diagnostic_rollout_failed,energy_retaining_bank,0.0,-0.0596373566771983,-0.0582994676882142,6.960856640378382,true_safety_violation,diagnostic_only,True,open_loop_rollout,open_loop,simulation_only,ablation_diagnostic
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=diagnostic_rollout_success|evidence_role=ablation_diagnostic|feedback_mode=open_loop__c00,fg_20260523_four_fan_branch_W1_008157,fg_20260523_four_fan_branch_W1_008157__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,diagnostic_rollout_success,energy_retaining_bank,0.0,-0.2482722696411636,0.4528608737925601,5.552632283084062,diagnostic_open_loop_not_mission_evidence,diagnostic_only,True,open_loop_rollout,open_loop,simulation_only,ablation_diagnostic
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=diagnostic_rollout_success|evidence_role=ablation_diagnostic|feedback_mode=open_loop__c01,fg_20260523_four_fan_branch_W1_008479,fg_20260523_four_fan_branch_W1_008479__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,diagnostic_rollout_success,energy_retaining_bank,0.0,-0.4076667387439339,0.0939485878018775,4.51397955617201,diagnostic_open_loop_not_mission_evidence,diagnostic_only,True,open_loop_rollout,open_loop,simulation_only,ablation_diagnostic
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=diagnostic_rollout_success|evidence_role=ablation_diagnostic|feedback_mode=open_loop__c02,fg_20260523_four_fan_branch_W1_008040,fg_20260523_four_fan_branch_W1_008040__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,diagnostic_rollout_success,energy_retaining_bank,0.0,-0.2186144225706217,0.0007574380399999,2.812897266091344,diagnostic_open_loop_not_mission_evidence,diagnostic_only,True,open_loop_rollout,open_loop,simulation_only,ablation_diagnostic
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_008043,fg_20260523_four_fan_branch_W1_008043__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,rejected,energy_retaining_bank,0.0,0.0,0.8687948589999999,7.44825498894,primitive_entry_check_failed,diagnostic_only,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c01,fg_20260523_four_fan_branch_W1_008204,fg_20260523_four_fan_branch_W1_008204__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,rejected,energy_retaining_bank,0.0,0.0,0.68096808303,4.51359742557,primitive_entry_check_failed,diagnostic_only,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=diagnostic_broad_only|outcome_class=rejected|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c02,fg_20260523_four_fan_branch_W1_008537,fg_20260523_four_fan_branch_W1_008537__W0__energy_retaining_bank,four_fan_branch,W0,nominal,diagnostic_broad_only,rejected,energy_retaining_bank,0.0,0.0,0.5224324925499992,6.10241901679,primitive_entry_check_failed,diagnostic_only,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c00,fg_20260523_four_fan_branch_W1_002812,fg_20260523_four_fan_branch_W1_002812__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,accepted,energy_retaining_bank,0.0,-0.3915086587565675,0.11596308047,6.969274453929386,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c01,fg_20260523_four_fan_branch_W1_002657,fg_20260523_four_fan_branch_W1_002657__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,accepted,energy_retaining_bank,0.0,-0.2639331945803782,0.0991665021800001,5.700971682914604,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=accepted|evidence_role=partial_feedback|feedback_mode=instant_state_feedback__c02,fg_20260523_four_fan_branch_W1_000232,fg_20260523_four_fan_branch_W1_000232__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,accepted,energy_retaining_bank,0.0,-0.3952951515833844,0.0876338861700001,7.020144608466812,success,simulation_candidate,True,feedback_stabilised_primitive,instant_state_feedback,simulation_only,partial_feedback
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c00,fg_20260523_four_fan_branch_W1_002229,fg_20260523_four_fan_branch_W1_002229__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,energy_retaining_bank,0.0,0.0,0.07559144634,3.58697090895,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c01,fg_20260523_four_fan_branch_W1_005390,fg_20260523_four_fan_branch_W1_005390__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,energy_retaining_bank,0.0,0.0,0.16147064757,3.42612577705,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c02,fg_20260523_four_fan_branch_W1_005543,fg_20260523_four_fan_branch_W1_005543__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,energy_retaining_bank,0.0,0.0,0.1678198707,3.81622255248,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
fan_branch=four_fan_branch|W_layer=W0|primitive_family=energy_retaining_bank|latency_case=nominal|entry_source=launch_gate_main|outcome_class=blocked_partial|evidence_role=blocked_partial|feedback_mode=unavailable__c03,fg_20260523_four_fan_branch_W1_003777,fg_20260523_four_fan_branch_W1_003777__W0__energy_retaining_bank,four_fan_branch,W0,nominal,launch_gate_main,blocked_partial,energy_retaining_bank,0.0,0.0,0.1803930977000001,3.34002835814,blocked_feedback_adapter_error:straight trim did not converge for fixed-gate feedback replay.,blocked,True,feedback_stabilised_primitive,unavailable,simulation_only,blocked_partial
