parameter,value,applied_to_replay,description
post_stall_surface_replay_scale,0.25,True,Train-replay-selected multiplier applied to all fitted alpha-RBF post-stall surface coefficients.
attached_cm_bias_coeff,0.0191476918,False,Attached-regime Cm residual. Report-only by default.
transition_cm_bias_coeff,0.05677166344,False,All-transition aggregate Cm diagnostic. Not applied to replay.
transition_before_post_stall_cm_bias_coeff,0.05885381443,False,Transition Cm diagnostic before first post-stall exposure in each throw.
transition_after_post_stall_cm_bias_coeff,-0.1050998155,False,Transition Cm diagnostic after the throw has already entered post-stall.
post_stall_lift_residual_coeff,0,False,Legacy scalar CL residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_drag_residual_coeff,0,False,Legacy scalar CD residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_pitch_moment_coeff,0,False,Legacy scalar Cm residual. Disabled when alpha-RBF post-stall surface fit is active.
post_stall_pitch_damping_coeff,0,True,Positive-AoA Cmq-style residual using q_hat = q c / (2V). Opt-in because it is derivative-sensitive.
post_stall_residual_blend_start_alpha_deg,10,True,Residual activation start alpha fitted after attached and post-stall coefficients.
post_stall_residual_blend_full_alpha_deg,17,True,Residual activation full-alpha point fitted from transition behaviour while preserving post-stall full activation.
post_stall_lift_rbf_20_coeff,0.3626783178,True,Neutral post-stall CL residual alpha-RBF coefficient at 20 deg AoA.
post_stall_lift_rbf_45_coeff,-0.3394292494,True,Neutral post-stall CL residual alpha-RBF coefficient at 45 deg AoA.
post_stall_lift_rbf_70_coeff,-0.1396381216,True,Neutral post-stall CL residual alpha-RBF coefficient at 70 deg AoA.
post_stall_drag_rbf_20_coeff,0.1147870861,True,Neutral post-stall CD residual alpha-RBF coefficient at 20 deg AoA.
post_stall_drag_rbf_45_coeff,0.0002510372835,True,Neutral post-stall CD residual alpha-RBF coefficient at 45 deg AoA.
post_stall_drag_rbf_70_coeff,-0.8081254773,True,Neutral post-stall CD residual alpha-RBF coefficient at 70 deg AoA.
post_stall_pitch_moment_rbf_20_coeff,-0.03047108814,True,Neutral post-stall Cm residual alpha-RBF coefficient at 20 deg AoA.
post_stall_pitch_moment_rbf_45_coeff,-0.07842991895,True,Neutral post-stall Cm residual alpha-RBF coefficient at 45 deg AoA.
post_stall_pitch_moment_rbf_70_coeff,-0.03217211879,True,Neutral post-stall Cm residual alpha-RBF coefficient at 70 deg AoA.
post_stall_pitch_damping_rbf_20_coeff,4,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 20 deg AoA.
post_stall_pitch_damping_rbf_45_coeff,-0.7289675534,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 45 deg AoA.
post_stall_pitch_damping_rbf_70_coeff,4,True,Neutral post-stall Cmq residual alpha-RBF coefficient at 70 deg AoA.
post_stall_side_force_bias_rbf_20_coeff,-0.3874027121,True,Neutral post-stall CY residual coefficient multiplying bias at 20 deg AoA.
post_stall_side_force_bias_rbf_45_coeff,0.4168862122,True,Neutral post-stall CY residual coefficient multiplying bias at 45 deg AoA.
post_stall_side_force_bias_rbf_70_coeff,0.2823075141,True,Neutral post-stall CY residual coefficient multiplying bias at 70 deg AoA.
post_stall_side_force_beta_rbf_20_coeff,-0.7330371495,True,Neutral post-stall CY residual coefficient multiplying beta at 20 deg AoA.
post_stall_side_force_beta_rbf_45_coeff,-0.5012509886,True,Neutral post-stall CY residual coefficient multiplying beta at 45 deg AoA.
post_stall_side_force_beta_rbf_70_coeff,-1.332743797,True,Neutral post-stall CY residual coefficient multiplying beta at 70 deg AoA.
post_stall_side_force_p_hat_rbf_20_coeff,-2.111860936,True,Neutral post-stall CY residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_side_force_p_hat_rbf_45_coeff,-0.6836503069,True,Neutral post-stall CY residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_side_force_p_hat_rbf_70_coeff,-0.6132004183,True,Neutral post-stall CY residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_side_force_r_hat_rbf_20_coeff,-4,True,Neutral post-stall CY residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_side_force_r_hat_rbf_45_coeff,-1.149042434,True,Neutral post-stall CY residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_side_force_r_hat_rbf_70_coeff,-4,True,Neutral post-stall CY residual coefficient multiplying r_hat at 70 deg AoA.
post_stall_roll_moment_bias_rbf_20_coeff,-0.008643047054,True,Neutral post-stall Cl residual coefficient multiplying bias at 20 deg AoA.
post_stall_roll_moment_bias_rbf_45_coeff,0.004719591167,True,Neutral post-stall Cl residual coefficient multiplying bias at 45 deg AoA.
post_stall_roll_moment_bias_rbf_70_coeff,0.03497463437,True,Neutral post-stall Cl residual coefficient multiplying bias at 70 deg AoA.
post_stall_roll_moment_beta_rbf_20_coeff,0.008365083091,True,Neutral post-stall Cl residual coefficient multiplying beta at 20 deg AoA.
post_stall_roll_moment_beta_rbf_45_coeff,-0.06874707462,True,Neutral post-stall Cl residual coefficient multiplying beta at 45 deg AoA.
post_stall_roll_moment_beta_rbf_70_coeff,0.08373841605,True,Neutral post-stall Cl residual coefficient multiplying beta at 70 deg AoA.
post_stall_roll_moment_p_hat_rbf_20_coeff,0.2380899943,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_roll_moment_p_hat_rbf_45_coeff,0.4036037239,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_roll_moment_p_hat_rbf_70_coeff,0.3032900388,True,Neutral post-stall Cl residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_roll_moment_r_hat_rbf_20_coeff,-0.4614660111,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_roll_moment_r_hat_rbf_45_coeff,0.07297039778,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_roll_moment_r_hat_rbf_70_coeff,-0.7840114409,True,Neutral post-stall Cl residual coefficient multiplying r_hat at 70 deg AoA.
post_stall_yaw_moment_bias_rbf_20_coeff,0.02466205449,True,Neutral post-stall Cn residual coefficient multiplying bias at 20 deg AoA.
post_stall_yaw_moment_bias_rbf_45_coeff,-0.0192778989,True,Neutral post-stall Cn residual coefficient multiplying bias at 45 deg AoA.
post_stall_yaw_moment_bias_rbf_70_coeff,0.009801771703,True,Neutral post-stall Cn residual coefficient multiplying bias at 70 deg AoA.
post_stall_yaw_moment_beta_rbf_20_coeff,0.01073023588,True,Neutral post-stall Cn residual coefficient multiplying beta at 20 deg AoA.
post_stall_yaw_moment_beta_rbf_45_coeff,-0.04627823916,True,Neutral post-stall Cn residual coefficient multiplying beta at 45 deg AoA.
post_stall_yaw_moment_beta_rbf_70_coeff,0.0713699888,True,Neutral post-stall Cn residual coefficient multiplying beta at 70 deg AoA.
post_stall_yaw_moment_p_hat_rbf_20_coeff,0.1653797018,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 20 deg AoA.
post_stall_yaw_moment_p_hat_rbf_45_coeff,0.1480621299,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 45 deg AoA.
post_stall_yaw_moment_p_hat_rbf_70_coeff,0.1440073416,True,Neutral post-stall Cn residual coefficient multiplying p_hat at 70 deg AoA.
post_stall_yaw_moment_r_hat_rbf_20_coeff,0.4871480824,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 20 deg AoA.
post_stall_yaw_moment_r_hat_rbf_45_coeff,0.002206222605,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 45 deg AoA.
post_stall_yaw_moment_r_hat_rbf_70_coeff,0.2959605894,True,Neutral post-stall Cn residual coefficient multiplying r_hat at 70 deg AoA.
